,,,"GGUN-FL Fluorometer #323  - Signals in mV ",,,,,,,,,,
150,"22/04/24-23:51:57",0,9.02,1.38,2.13,16.31,13.93,13,6.68,0.106,25.0040833333335,0.178126458315952,-0.00000000270250000000004
151,"22/04/25-00:06:57",0,9.05,1.38,2.11,16.19,13.93,13,6.68,0.111,25.0145000000002,0.179562364824947,-0.00000000108099999999998
152,"22/04/25-00:21:57",0,9.05,1.38,2.1,16.14,13.9,13,6.68,0.107,25.0249166666668,0.180467467917191,-0.00000000108099999999998
153,"22/04/25-00:36:57",0,9,1.38,2.12,16.17,13.96,13,6.68,0.102,25.0353333333335,0.180467467917191,-0.00000000378350000000002
154,"22/04/25-00:51:57",0,9.02,1.38,2.11,16.22,13.91,13,6.68,0.099,25.0457500000002,0.182620133248615,-0.00000000270250000000004
155,"22/04/25-01:06:57",0,9.02,1.4,2.13,16.25,13.91,13,6.68,0.102,25.0561666666669,0.183855443311024,-0.00000000270250000000004
156,"22/04/25-01:21:56",0,9.05,1.38,2.13,16.16,13.92,13,6.68,0.103,25.0665833333335,0.18661459787399,-0.00000000108099999999998
157,"22/04/25-01:36:56",0,9.01,1.39,2.1,16.14,13.92,13,6.68,0.102,25.0770000000002,0.191391245094263,-0.00000000324300000000003
158,"22/04/25-01:51:56",0,9,1.38,2.12,16.13,13.94,13,6.68,0.106,25.0874166666669,0.194939835423792,-0.00000000378350000000002
159,"22/04/25-02:06:56",0,9.03,1.39,2.09,16.16,13.9,13,6.68,0.1,25.0978333333335,0.202738377569482,-0.00000000216200000000005
160,"22/04/25-02:21:56",0,8.99,1.39,2.11,16.17,13.92,13,6.68,0.1,25.1082500000002,0.209065180288044,-0.000000004324
161,"22/04/25-02:36:56",0,8.96,1.4,2.12,16.15,13.93,13,6.68,0.102,25.1186666666669,0.217943733895414,-0.00000000594549999999997
162,"22/04/25-02:51:56",0,8.98,1.36,2.13,16.11,13.95,13,6.68,0.106,25.1290833333335,0.224821995770214,-0.00000000486449999999999
163,"22/04/25-03:06:56",0,9,1.37,2.11,16.13,13.92,12.99,6.68,0.108,25.1395000000002,0.236494221765239,-0.00000000378350000000002
164,"22/04/25-03:21:56",0,9.01,1.39,2.12,16.12,13.92,12.99,6.68,0.106,25.1499166666669,0.245877668192385,-0.00000000324300000000003
165,"22/04/25-03:36:56",0,8.99,1.38,2.11,16.15,13.92,12.99,6.68,0.094,25.1603333333335,0.252884501894393,-0.000000004324
166,"22/04/25-03:51:56",0,9.01,1.38,2.1,16.18,13.91,12.99,6.68,0.098,25.1707500000002,0.262148932217801,-0.00000000324300000000003
167,"22/04/25-04:06:56",0,8.98,1.36,2.11,16.11,13.93,12.99,6.68,0.111,25.1811666666669,0.273597280517247,-0.00000000486449999999999
168,"22/04/25-04:21:56",0,8.97,1.41,2.12,16.19,13.94,12.99,6.69,0.101,25.1915833333335,0.282694645962357,-0.00000000540499999999998
169,"22/04/25-04:36:55",0,8.95,1.35,2.09,16.14,13.95,12.99,6.68,0.092,25.2020000000002,0.296438922334676,-0.00000000648600000000005
170,"22/04/25-04:51:55",0,8.99,1.39,2.08,16.14,13.93,12.99,6.69,0.102,25.2124166666669,0.308277168562522,-0.000000004324
171,"22/04/25-05:06:55",0,8.97,1.36,2.11,16.07,13.93,12.99,6.69,0.099,25.2228333333335,0.320858401061795,-0.00000000540499999999998
172,"22/04/25-05:21:55",0,8.95,1.39,2.09,16.27,13.92,12.99,6.69,0.103,25.2332500000002,0.337611926562423,-0.00000000648600000000005
173,"22/04/25-05:36:55",0,8.98,1.37,2.12,16.12,13.91,12.99,6.69,0.104,25.2436666666669,0.353640225975964,-0.00000000486449999999999
174,"22/04/25-05:51:55",0,9,1.4,2.09,16.29,13.91,12.99,6.69,0.097,25.2540833333335,0.368309996276851,-0.00000000378350000000002
175,"22/04/25-06:06:55",0,8.99,1.38,2.11,16.26,13.9,12.99,6.69,0.104,25.2645000000002,0.394343873575272,-0.000000004324
176,"22/04/25-06:21:55",0,8.94,1.38,2.11,16.32,13.94,12.99,6.69,0.116,25.2749166666669,0.420714597307102,-0.00000000702650000000004
177,"22/04/25-06:36:55",0,8.95,1.37,2.14,16.33,13.91,12.99,6.69,0.104,25.2853333333335,0.466798917138323,-0.00000000648600000000005
178,"22/04/25-06:51:55",0,8.99,1.4,2.1,16.36,13.93,12.99,6.69,0.11,25.2957500000002,0.507786077898351,-0.000000004324
179,"22/04/25-07:06:55",0,9.03,1.38,2.1,16.68,13.92,12.99,6.69,0.103,25.3061666666669,0.556893062652102,-0.00000000216200000000005
180,"22/04/25-07:21:55",0,9.01,1.4,2.11,16.99,13.91,12.99,6.69,0.103,25.3165833333335,0.615461677873961,-0.00000000324300000000003
181,"22/04/25-07:36:54",0,9.05,1.38,2.14,17.25,13.93,12.99,6.69,0.105,25.3270000000002,0.684934570589834,-0.00000000108099999999998
182,"22/04/25-07:51:54",0,9.46,1.42,2.27,18.96,13.91,12.99,6.69,0.105,25.3374166666669,0.732490255281525,0.0000000210795
183,"22/04/25-08:06:54",0,9.25,1.4,2.13,19.74,13.92,12.99,6.69,0.099,25.3478333333336,0.766855228376755,0.00000000972899999999999
184,"22/04/25-08:21:54",0,9.71,1.42,2.18,19.5,13.93,12.99,6.69,0.109,25.3582500000002,0.784876017824189,0.000000034592
185,"22/04/25-08:36:54",0,11.66,1.44,2.14,20.73,13.9,12.99,6.69,0.104,25.3686666666669,0.822662395817466,0.0000001399895
186,"22/04/25-08:51:54",0,18.97,1.62,2.2,23.82,13.93,12.99,6.69,0.105,25.3790833333336,0.822662395817466,0.000000535095
187,"22/04/25-09:06:54",0,48.08,2.15,2.39,35.98,13.92,12.99,6.69,0.105,25.3895000000002,0.842455745717152,0.0000021084905
188,"22/04/25-09:21:54",0,119.46,3.31,2.79,44.57,13.92,12.99,6.69,0.113,25.3999166666669,0.86286797936306,0.0000059665795
189,"22/04/25-09:36:54",0,256.61,5.32,3.52,45.59,13.87,12.99,6.7,0.102,25.4103333333336,0.905606395395205,0.000013379537
190,"22/04/25-09:51:54",0,493.55,8.81,4.79,42.08,13.92,12.98,6.7,0.107,25.4207500000002,0.950993852366026,0.000026186144
191,"22/04/25-10:06:54",0,661.9,11.29,5.64,42.06,13.92,12.98,6.7,0.103,25.4311666666669,0.950993852366017,0.0000352854615
192,"22/04/25-10:21:54",0,662.09,11.26,5.67,41.57,13.91,12.98,6.7,0.108,25.4415833333336,0.927961629894469,0.000035295731
193,"22/04/25-10:36:53",0,632.04,10.84,5.53,41.22,13.93,12.98,6.7,0.11,25.4520000000002,0.999149140245851,0.0000336715285
194,"22/04/25-10:51:53",0,584.93,10.11,5.27,38.44,13.9,12.98,6.7,0.098,25.4624166666669,0.999149140245851,0.000031125233
195,"22/04/25-11:06:53",0,495.4,8.78,4.83,36.21,13.88,12.98,6.7,0.103,25.4728333333336,0.999149140245851,0.0000262861365
196,"22/04/25-11:21:53",0,391.15,7.24,4.27,34.18,13.92,12.98,6.7,0.097,25.4832500000002,0.950993852366017,0.000020651424
197,"22/04/25-11:36:53",0,306.67,5.98,3.82,32.62,13.93,12.98,6.7,0.094,25.4936666666669,0.905606395395222,0.00001608528
198,"22/04/25-11:51:53",0,243.61,5.01,3.53,31.03,13.91,12.98,6.7,0.098,25.5040833333336,0.92796162989446,0.000012676887
199,"22/04/25-12:06:53",0,197.97,4.32,3.27,30.51,13.92,12.98,6.7,0.107,25.5145000000002,0.905606395395222,0.000010210045
200,"22/04/25-12:21:53",0,165.84,3.82,3.12,29.15,13.89,12.98,6.7,0.094,25.5249166666669,0.842455745717152,0.0000084734185
201,"22/04/25-12:36:53",0,142.42,3.48,3.03,26.67,13.92,12.98,6.7,0.104,25.5353333333336,0.842455745717152,0.0000072075675
202,"22/04/25-12:51:53",0,124.38,3.22,2.94,26.04,13.92,12.98,6.7,0.109,25.5457500000002,0.82266239581744,0.0000062325055
203,"22/04/25-13:06:53",0,110.8,2.99,2.88,24.46,13.93,12.98,6.69,0.103,25.5561666666669,0.80347380696958,0.0000054985065
204,"22/04/25-13:21:53",0,100.14,2.84,2.81,24.5,13.92,12.98,6.69,0.103,25.5665833333336,0.803473806969632,0.0000049223335
205,"22/04/25-13:36:53",0,91.31,2.66,2.78,23.68,13.97,12.98,6.69,0.1,25.5770000000002,0.766855228376755,0.000004445072
206,"22/04/25-13:51:52",0,84.65,2.58,2.79,22.21,13.91,12.99,6.69,0.106,25.5874166666669,0.749397799967423,0.000004085099
207,"22/04/25-14:06:52",0,78.73,2.48,2.75,22.05,13.93,12.99,6.69,0.102,25.5978333333336,0.732490255281525,0.000003765123
208,"22/04/25-14:21:52",0,73.9,2.4,2.76,22.23,13.94,12.99,6.69,0.102,25.6082500000002,0.684934570589834,0.0000035040615
209,"22/04/25-14:36:52",0,69.9,2.34,2.71,21.35,13.92,12.99,6.69,0.102,25.6186666666669,0.670095014547326,0.0000032878615
210,"22/04/25-14:51:52",0,66.86,2.31,2.75,20.78,13.91,12.99,6.69,0.104,25.6290833333336,0.641858145185066,0.0000031235495
211,"22/04/25-15:06:52",0,64.74,2.28,2.74,20.93,13.92,12.99,6.69,0.101,25.6395000000002,0.615461677873961,0.0000030089635
212,"22/04/25-15:21:52",0,63.32,2.21,2.71,20.17,13.93,12.99,6.69,0.099,25.6499166666669,0.602923229438838,0.0000029322125
213,"22/04/25-15:36:52",0,62.31,2.22,2.73,19.86,13.93,12.99,6.69,0.102,25.6603333333336,0.602923229438838,0.000002877622
214,"22/04/25-15:51:52",0,61.7,2.24,2.73,20.22,13.91,12.99,6.69,0.098,25.6707500000003,0.628435974719102,0.0000028446515
215,"22/04/25-16:06:52",0,61.41,2.19,2.75,20.15,13.95,12.99,6.69,0.109,25.6811666666669,0.615461677873961,0.000002828977
216,"22/04/25-16:21:52",0,61.51,2.22,2.75,19.8,13.94,12.99,6.68,0.103,25.6915833333336,0.602923229438838,0.000002834382
217,"22/04/25-16:36:52",0,61.88,2.22,2.78,19.83,13.93,12.99,6.68,0.102,25.7020000000003,0.615461677873961,0.0000028543805
218,"22/04/25-16:51:51",0,62.3,2.23,2.76,19.89,13.91,12.99,6.68,0.104,25.7124166666669,0.615461677873961,0.0000028770815
219,"22/04/25-17:06:51",0,62.93,2.21,2.78,19.66,13.9,12.99,6.68,0.107,25.7228333333336,0.590808765547717,0.000002911133
220,"22/04/25-17:21:51",0,63.65,2.24,2.75,19.92,13.92,12.99,6.68,0.107,25.7332500000003,0.590808765547717,0.000002950049
221,"22/04/25-17:36:51",0,64.36,2.27,2.77,19.74,13.92,12.99,6.68,0.101,25.7436666666669,0.556893062652102,0.0000029884245
222,"22/04/25-17:51:51",0,65.25,2.25,2.78,19.37,13.91,12.99,6.68,0.108,25.7540833333336,0.556893062652102,0.000003036529
223,"22/04/25-18:06:51",0,66.22,2.29,2.79,19.32,13.92,12.99,6.68,0.103,25.7645000000003,0.526381610586355,0.0000030889575
224,"22/04/25-18:21:51",0,66.99,2.28,2.78,19.03,13.92,12.99,6.68,0.103,25.7749166666669,0.507786077898342,0.000003130576
225,"22/04/25-18:36:51",0,67.54,2.3,2.84,19.49,13.9,12.99,6.68,0.108,25.7853333333336,0.490488587635159,0.0000031603035
226,"22/04/25-18:51:51",0,67.97,2.3,2.8,19.47,13.9,12.99,6.68,0.099,25.7957500000003,0.474407781839147,0.000003183545
227,"22/04/25-19:06:51",0,68.35,2.28,2.8,19.32,13.89,12.98,6.68,0.103,25.8061666666669,0.466798917138382,0.000003204084
228,"22/04/25-19:21:51",0,68.6,2.32,2.81,19.02,13.91,12.98,6.68,0.107,25.8165833333336,0.452396238943308,0.0000032175965
229,"22/04/25-19:36:51",0,68.99,2.31,2.82,19.18,13.91,12.98,6.68,0.103,25.8270000000003,0.432690614448964,0.000003238676
230,"22/04/25-19:51:51",0,69.52,2.32,2.86,19.42,13.94,12.98,6.67,0.108,25.8374166666669,0.439018144462949,0.0000032673225
231,"22/04/25-20:06:50",0,70.18,2.34,2.86,19.33,13.91,12.98,6.67,0.105,25.8478333333336,0.439018144463009,0.0000033029955
232,"22/04/25-20:21:50",0,70.89,2.33,2.87,18.94,13.94,12.98,6.67,0.112,25.8582500000003,0.426592311053099,0.000003341371
233,"22/04/25-20:36:50",0,71.6,2.34,2.87,19.09,13.95,12.98,6.67,0.11,25.8686666666669,0.426592311053099,0.0000033797465
234,"22/04/25-20:51:50",0,72.07,2.38,2.87,19.12,13.91,12.98,6.67,0.108,25.8790833333336,0.409587197615829,0.00000340515
235,"22/04/25-21:06:50",0,72.25,2.37,2.88,18.96,13.93,12.98,6.67,0.1,25.8895000000003,0.409587197615829,0.000003414879
236,"22/04/25-21:21:50",0,72.32,2.37,2.92,18.91,13.93,12.98,6.67,0.106,25.8999166666669,0.409587197615829,0.0000034186625
237,"22/04/25-21:36:50",0,72.05,2.36,2.91,18.83,13.93,12.98,6.67,0.101,25.9103333333336,0.404321044458268,0.000003404069
238,"22/04/25-21:51:50",0,71.49,2.38,2.92,19.2,13.92,12.98,6.67,0.104,25.9207500000003,0.399242546526065,0.000003373801
239,"22/04/25-22:06:50",0,70.69,2.33,2.9,18.91,13.94,12.98,6.67,0.108,25.9311666666669,0.394343873575272,0.000003330561
240,"22/04/25-22:21:50",0,69.72,2.35,2.89,19.24,13.89,12.98,6.67,0.098,25.9415833333336,0.389617356706944,0.0000032781325
241,"22/04/25-22:36:50",0,68.55,2.32,2.92,19.04,13.93,12.98,6.67,0.1,25.9520000000003,0.394343873575272,0.000003214894
242,"22/04/25-22:51:50",0,67.28,2.3,2.91,18.81,13.92,12.97,6.67,0.1,25.962416666667,0.385055488366865,0.0000031462505
243,"22/04/25-23:06:49",0,65.82,2.27,2.9,19,13.93,12.97,6.67,0.105,25.9728333333336,0.380650922345745,0.0000030673375
244,"22/04/25-23:21:49",0,64.42,2.25,2.92,18.91,13.94,12.97,6.67,0.105,25.9832500000003,0.376396473779242,0.0000029916675
245,"22/04/25-23:36:49",0,63.22,2.22,2.92,18.85,13.92,12.97,6.67,0.104,25.993666666667,0.372285119147827,0.0000029268075
246,"22/04/25-23:51:49",0,62.12,2.22,2.92,19.09,13.9,12.97,6.67,0.104,26.0040833333336,0.376396473779212,0.0000028673525
247,"22/04/26-00:06:49",0,61.09,2.21,2.9,18.85,13.92,12.97,6.67,0.105,26.0145000000003,0.368309996276851,0.000002811681
248,"22/04/26-00:21:49",0,60.03,2.2,2.93,18.98,13.95,12.97,6.67,0.105,26.024916666667,0.360741803842217,0.000002754388
249,"22/04/26-00:36:49",0,59.05,2.18,2.92,18.93,13.92,12.97,6.67,0.102,26.0353333333336,0.357135816653688,0.000002701419
250,"22/04/26-00:51:49",0,57.98,2.13,2.93,19.21,13.93,12.97,6.67,0.105,26.0457500000003,0.357135816653688,0.0000026435855
251,"22/04/26-01:06:49",0,56.94,2.13,2.93,18.88,13.94,12.97,6.67,0.102,26.056166666667,0.350248976358836,0.0000025873735
252,"22/04/26-01:21:49",0,55.95,2.14,2.92,19.12,13.93,12.97,6.67,0.106,26.0665833333336,0.346956173696884,0.000002533864
253,"22/04/26-01:36:49",0,55.05,2.13,2.94,19.28,13.93,12.96,6.67,0.109,26.0770000000003,0.343756085229748,0.000002485219
254,"22/04/26-01:51:49",0,54.28,2.1,2.94,19.27,13.92,12.96,6.67,0.103,26.087416666667,0.350248976358836,0.0000024436005
255,"22/04/26-02:06:48",0,53.65,2.11,2.95,19.05,13.93,12.96,6.67,0.102,26.0978333333336,0.353640225975985,0.000002409549
256,"22/04/26-02:21:48",0,53.26,2.09,2.97,19.26,13.9,12.96,6.67,0.108,26.1082500000003,0.360741803842204,0.0000023884695
257,"22/04/26-02:36:48",0,52.92,2.11,2.98,19.26,13.93,12.96,6.67,0.101,26.118666666667,0.360741803842217,0.0000023700925
258,"22/04/26-02:51:48",0,52.68,2.11,2.97,19.27,13.92,12.96,6.67,0.102,26.1290833333336,0.368309996276817,0.0000023571205
259,"22/04/26-03:06:48",0,52.36,2.09,2.99,19.41,13.9,12.96,6.67,0.105,26.1395000000003,0.364464404336594,0.0000023398245
260,"22/04/26-03:21:48",0,51.92,2.07,2.97,19.28,13.94,12.96,6.67,0.105,26.149916666667,0.357135816653688,0.0000023160425
261,"22/04/26-03:36:48",0,51.43,2.07,3,19.2,13.93,12.96,6.67,0.109,26.1603333333336,0.353640225975964,0.000002289558
262,"22/04/26-03:51:48",0,50.74,2.06,3.02,19.54,13.92,12.96,6.67,0.101,26.1707500000003,0.346956173696884,0.0000022522635
263,"22/04/26-04:06:48",0,49.9,2.07,3.01,19.28,13.9,12.96,6.67,0.104,26.181166666667,0.340643139541817,0.0000022068615
264,"22/04/26-04:21:48",0,49.03,2.07,3.02,19.33,13.93,12.96,6.67,0.099,26.1915833333336,0.334657197565751,0.000002159838
265,"22/04/26-04:36:48",0,47.92,2.05,3.01,19.4,13.95,12.95,6.67,0.102,26.2020000000003,0.326201847387237,0.0000020998425
266,"22/04/26-04:51:48",0,46.78,2.03,3,19.29,13.91,12.95,6.67,0.101,26.212416666667,0.3208584010618,0.0000020382255
267,"22/04/26-05:06:47",0,45.59,1.99,3.03,19.44,13.87,12.95,6.67,0.098,26.2228333333336,0.320858401061795,0.000001973906
268,"22/04/26-05:21:47",0,44.34,2,3,19.44,13.92,12.95,6.67,0.103,26.2332500000003,0.315708635562947,0.0000019063435
269,"22/04/26-05:36:47",0,43.27,1.96,3,19.6,13.91,12.95,6.67,0.099,26.243666666667,0.310720241777122,0.00000184851
270,"22/04/26-05:51:47",0,42.28,1.95,3.01,19.78,13.92,12.95,6.67,0.097,26.2540833333337,0.308277168562517,0.0000017950005
271,"22/04/26-06:06:47",0,41.43,1.94,3.01,19.11,13.89,12.95,6.67,0.103,26.2645000000003,0.303475899829344,0.000001749058
272,"22/04/26-06:21:47",0,40.59,1.95,3.03,19.41,13.9,12.95,6.67,0.104,26.274916666667,0.301111240481231,0.000001703656
273,"22/04/26-06:36:47",0,39.76,1.92,3,19.49,13.91,12.95,6.67,0.104,26.2853333333337,0.305863492109,0.0000016587945
274,"22/04/26-06:51:47",0,38.95,1.91,3.01,19.39,13.92,12.95,6.67,0.097,26.2957500000003,0.305863492109,0.000001615014
275,"22/04/26-07:06:47",0,38.17,1.88,3,19.31,13.92,12.95,6.67,0.101,26.306166666667,0.305863492109,0.000001572855
276,"22/04/26-07:21:47",0,37.41,1.91,3.01,19.22,13.93,12.95,6.67,0.092,26.3165833333337,0.308277168562517,0.000001531777
277,"22/04/26-07:36:47",0,36.72,1.85,3.02,19.34,13.92,12.95,6.67,0.1,26.3270000000003,0.305863492109,0.0000014944825
278,"22/04/26-07:51:47",0,36.07,1.84,3.01,19.21,13.92,12.95,6.67,0.102,26.337416666667,0.308277168562517,0.00000145935
279,"22/04/26-08:06:46",0,35.43,1.84,3.02,19.26,13.94,12.95,6.67,0.096,26.3478333333337,0.308277168562517,0.000001424758
280,"22/04/26-08:21:46",0,34.86,1.85,3.04,19.12,13.93,12.95,6.67,0.1,26.3582500000003,0.303475899829344,0.0000013939495
281,"22/04/26-08:36:46",0,34.33,1.84,3.02,19.23,13.9,12.95,6.67,0.099,26.368666666667,0.296438922334693,0.000001365303
282,"22/04/26-08:51:46",0,33.75,1.82,3.03,19.29,13.95,12.95,6.67,0.096,26.3790833333337,0.294125767775988,0.000001333954
283,"22/04/26-09:06:46",0,33.34,1.81,3.02,19.12,13.87,12.94,6.67,0.107,26.3895000000003,0.291824554628296,0.0000013117935
284,"22/04/26-09:21:46",0,32.79,1.83,3.01,19,13.93,12.95,6.67,0.104,26.399916666667,0.289532938373681,0.000001282066
285,"22/04/26-09:36:46",0,32.35,1.79,3.04,19.28,13.91,12.95,6.67,0.101,26.4103333333337,0.289532938373681,0.000001258284
286,"22/04/26-09:51:46",0,31.91,1.79,3.05,19.34,13.91,12.95,6.67,0.1,26.4207500000003,0.287248735839118,0.000001234502
287,"22/04/26-10:06:46",0,31.49,1.79,3.06,19.02,13.93,12.95,6.67,0.102,26.431166666667,0.284969925196438,0.000001211801
288,"22/04/26-10:21:46",0,31.14,1.8,3.05,19.04,13.9,12.95,6.67,0.108,26.4415833333337,0.291824554628296,0.0000011928835
289,"22/04/26-10:36:46",0,30.83,1.8,3.04,19.06,13.91,12.95,6.67,0.095,26.4520000000003,0.287248735839118,0.000001176128
290,"22/04/26-10:51:46",0,30.58,1.77,3.04,18.99,13.89,12.95,6.67,0.097,26.462416666667,0.284969925196438,0.0000011626155
291,"22/04/26-11:06:45",0,30.34,1.75,3.06,19.24,13.91,12.95,6.67,0.103,26.4728333333337,0.282694645962357,0.0000011496435
292,"22/04/26-11:21:45",0,30.07,1.77,3.06,19.06,13.93,12.95,6.67,0.102,26.4832500000003,0.278148046511258,0.00000113505
293,"22/04/26-11:36:45",0,29.84,1.78,3.06,19.13,13.95,12.96,6.67,0.1,26.493666666667,0.275873812052093,0.0000011226185
294,"22/04/26-11:51:45",0,29.65,1.77,3.05,19.05,13.94,12.96,6.67,0.098,26.5040833333337,0.273597280517221,0.000001112349
295,"22/04/26-12:06:45",0,29.54,1.77,3.06,19.06,13.93,12.96,6.67,0.104,26.5145000000004,0.269033272529801,0.0000011064035
296,"22/04/26-12:21:45",0,29.48,1.76,3.06,18.99,13.92,12.96,6.67,0.1,26.524916666667,0.271317398147791,0.0000011031605
297,"22/04/26-12:36:45",0,29.41,1.75,3.06,18.86,13.91,12.96,6.67,0.098,26.5353333333337,0.269033272529801,0.000001099377
298,"22/04/26-12:51:45",0,29.3,1.78,3.06,18.84,13.94,12.96,6.67,0.094,26.5457500000004,0.271317398147791,0.0000010934315
299,"22/04/26-13:06:45",0,29.39,1.75,3.06,18.85,13.9,12.96,6.67,0.097,26.556166666667,0.271317398147791,0.000001098296
300,"22/04/26-13:21:45",0,29.41,1.76,3.07,18.87,13.93,12.96,6.67,0.102,26.5665833333337,0.271317398147791,0.000001099377
301,"22/04/26-13:36:45",0,29.43,1.78,3.09,18.97,13.92,12.96,6.67,0.095,26.5770000000004,0.269033272529801,0.000001100458
302,"22/04/26-13:51:45",0,29.53,1.79,3.08,19.03,13.9,12.96,6.67,0.099,26.587416666667,0.266744172594149,0.000001105863
303,"22/04/26-14:06:45",0,29.53,1.77,3.06,19.14,13.92,12.96,6.67,0.107,26.5978333333337,0.264449528616584,0.000001105863
304,"22/04/26-14:21:44",0,29.62,1.75,3.07,19.06,13.9,12.96,6.67,0.097,26.6082500000004,0.262148932217801,0.0000011107275
305,"22/04/26-14:36:44",0,29.68,1.76,3.06,18.9,13.9,12.96,6.67,0.102,26.618666666667,0.259842136363324,0.0000011139705
306,"22/04/26-14:51:44",0,29.78,1.74,3.08,19.01,13.9,12.96,6.67,0.105,26.6290833333337,0.257529055363604,0.0000011193755
